final monument	description	program	specific rules
601345-1	STOWAGE FWD LH	BFE	NULL
601345-101	STOWAGE S1, FWD L/H 18"	BFE	NULL
601345-201	STOWAGE S1, FWD LH	BFE	NULL
601347-1	STOWAGE S2	BFE	NULL
601348-1	STOWAGE S1, AFT RH	BFE	NULL
601349-1	STOWAGE S1, AFT LH	BFE	NULL
601350-1	STOWAGE S2, AFT RH	BFE	NULL
601351-1	GALLEY G2	BFE	NULL
601352-1	STOWAGE S1, FWD LH	BFE	NULL
601352-2	STOWAGE S1, FWD LH	BFE	NULL
601353-1	STOWAGE C1, FWD 15" LH	BFE	NULL
601353-2	STOWAGE C2, FWD 15" RH	BFE	NULL
601354-1	STOWAGE S6, AFT RH	BFE	NULL
601355-1	FINAL ASSEMBLY	BFE	NULL
601355-1001	LDMCR	BFE	NULL
601355-101	FINAL ASSEMBLY	BFE	NULL
601355-201	LDMCR	BFE	NULL
601355-301	FINAL ASSEMBLY	BFE	NULL
601355-401	FINAL ASSEMBLY	BFE	NULL
601355-501	FINAL ASSEMBLY	BFE	NULL
601355-601	LDMCR	BFE	NULL
601355-701	LDMCR	BFE	NULL
601355-801	LDMCR	BFE	AB MILITARI
601355-901	LDMCR	BFE	NULL
601356-1	STAIRHOUSE	BFE	NULL
601356-101	FINAL ASSY	BFE	NULL
601356-1201	FINAL ASSY	BFE	NULL
601356-201	FINAL ASSY	BFE	NULL
601356-301	FINAL ASSY	BFE	NULL
601356-401	Stairhouse	BFE	NULL
601356-501	Stairhouse	BFE	NULL
601356-601	STAIRHOUSE	BFE	NULL
601356-701	STAIRHOUSE	BFE	NULL
601357-1	LDMCR	BFE	NULL
601357-101	LDMCR	BFE	NULL
601357-201	LDMCR	BFE	NULL
601358-1	GALLEY G2A	BFE	NULL
601359-1	STOWAGE C1, 18" FWD LH	BFE	NULL
601359-101	STOWAGE C1, 18" FWD LH	BFE	NULL
601360-1	STOWAGE S1, 13" MD LH	BFE	NULL
601360-2	STOWAGE S2, 13" MD RH	BFE	NULL
601361-1	STOWAGE S1, FWD RH	BFE	NULL
601362-1	GALLEY G1	BFE	NULL
601363-1	GALLEY G4	BFE	NULL
601364-1	STOWAGE C2, AFT LH 15"	BFE	NULL
601364-2	STOWAGE C2, AFT RH 15"	BFE	NULL
601365-1	FINAL ASSY	BFE	NULL
601365-101	FINAL ASSY	BFE	NULL
601365-201	FINAL ASSY	BFE	NULL
601365-301	STAIRHOUSE	BFE	DELTA LDMCR
601365-401	STAIRHOUSE	BFE	AB MILITARI
601366-1	FINAL ASSEMBLY	BFE	NULL
601366-101	FINAL ASSEMBLY	BFE	NULL
601366-201	LDMCR	BFE	NULL
601366-301	FINAL ASSEMBLY	BFE	NULL
601367-1	GALLEY G2A	BFE	NULL
601368-1	GALLEY 5	BFE	NULL
601368-101	GALLEY 5	BFE	NULL
601368-201	GALLEY 5	BFE	NULL
601369-1	STOWAGE C1, FWD 15" LH	BFE	NULL
601370-1	STOWAGE C3, AFT RH 15"	BFE	NULL
601371-1	STOWAGE C, FWD LH 18"	BFE	NULL
601372-1	STOWAGE C1, FWD LH 13"	BFE	NULL
601372-2	STOWAGE C2,FWD RH 13"	BFE	NULL
601373-1	GALLEY G2A	BFE	NULL
601373-101	GALLEY G2A	BFE	NULL
601374-1	FINAL ASSEMBLY	BFE	NULL
601375-1	GALLEY 5	BFE	NULL
601376-1	STOWAGE FWD LH 10"	BFE	NULL
601377-1	STOWAGE C2, AFT RH 15"	BFE	NULL
601380-1	GALLEY G4	BFE	NULL
601381-1	FINAL ASSY	BFE	NULL
601382-1	FINAL ASSEMBLY	BFE	NULL
601383-1	FINAL ASSY	BFE	NULL
601384-1	FINAL ASSY	BFE	NULL
601385-1	FINAL ASSY	BFE	NULL
601386-1	FINAL ASSEMBLY	BFE	NULL
601387-1	FINAL ASSEMBLY	BFE	NULL
601388-1	CLOSET C1R	BFE	NULL
601389-1	FINAL ASSEMBLY	BFE	NULL
601390-1	FINAL ASSEMBLY	BFE	NULL
601393-1	FINAL ASSY	BFE	NULL
601394-1	FINAL ASSY	BFE	NULL
601395-1	FINAL ASSY	BFE	NULL
601396-1	FINAL ASSEMBLY	BFE	NULL
601397-1	FINAL ASSEMBLY	BFE	NULL
601398-1	STOWAGE S2, AFT RH 15"	BFE	NULL
601399-1	STOWAGE S1, AFT LH 15"	BFE	NULL
601400-1	GREEN GALLEY	BFE	NULL
601400-101	GALLEY G1	BFE	NULL
601400-103	ID PLACARD	BFE	NULL
601400-201	GALLEY G1	BFE	NULL
601400-301	GALLEY G1	BFE	NULL
601400-401	GALLEY G1	BFE	NULL
601401-1	GREEN GALLEY G5	BFE	NULL
601401-101	GALLEY G5	BFE	NULL
601401-1801	GALLEY G5	BFE	NULL
601401-201	GALLEY G5	BFE	NULL
601401-2201	GALLEY G5	BFE	NULL
601401-301	GALLEY G5	BFE	NULL
601401-401	GALLEY G5	BFE	NULL
601401-4801	GALLEY 5	BFE	NULL
601401-5301	GALLEY G5	BFE	NULL
601401-5501	GALLEY G5	BFE	NULL
601401-5601	GALLEY G5	BFE	NULL
601401-5701	GALLEY G5	BFE	NULL
601401-6201	GALLEY G5	BFE	NULL
601401-6301	GALLEY G5	BFE	NULL
601401-901	GALLEY G5	BFE	NULL
601410-1	GREEN GALLEY	BFE	NULL
601410-101	GALLEY G1	BFE	NULL
601410-1801	GALLEY G1	BFE	NULL
601410-2201	GALLEY 1	BFE	NULL
601410-3001	GALLEY G1	BFE	NULL
601410-4101	FINAL ASSEMBLY	BFE	NULL
601410-4401	FINAL ASSEMBLY	BFE	NULL
601410-4801	FINAL ASSEMBLY	BFE	NULL
601410-5601	GALLEY G1	BFE	NULL
601410-5901	FINAL ASSEMBLY	BFE	NULL
601410-6101	GALLEY G1	BFE	NULL
601410-901	GALLEY G1	BFE	NULL
601501-1	GALLEY G1	BFE	NULL
601502-1	STOWAGE S1, FWD LH 15"	BFE	NULL
601503-1	STOWAGE S1, FWD LH 14"	BFE	NULL
601504-1	STOWAGE S2, FWD RH 14"	BFE	NULL
601505-1	GALLEY 5	BFE	NULL
601507-1	STOWAGE S2, FWD RH 15"	BFE	NULL
601508-1	GALLEY G8, Loc. XIa	BFE	NULL
601509-1	STOWAGE S1, AFT LH 15"	BFE	NULL
601509-2	STOWAGE S2, AFT RH 15"	BFE	NULL
601511-1	FINAL ASSEMBLY	BFE	NULL
601513-1	FINAL ASSY	BFE	NULL
601514-1	FINAL ASSY	BFE	NULL
601515-1	FINAL ASSY	BFE	NULL
601515-2001	GALLEY G4L	BFE	NULL
601516-1	FINAL ASSY	BFE	NULL
601516-2001	GALLEY G4R	BFE	NULL
601517-1	PELMET ASSY	BFE	NULL
601518-1	FINAL ASSY	BFE	NULL
601519-1	FINAL ASSEMBLY	BFE	NULL
601520-1	FINAL ASSEMBLY	BFE	NULL
601521-1	DOGHOUSE D3L	BFE	NULL
601522-1	DOGHOUSE D3C	BFE	NULL
601523-1	DOGHOUSE D3R	BFE	NULL
601524-1	DOGHOUSE D4C	BFE	NULL
END	NULL	NULL	NULL
601850-007001	GALLEY G1	SFE	NULL
601850-007101	GALLEY G1	SFE	NULL
601850-007301	GALLEY G1	SFE	NULL
601850-007601	GALLEY G1	SFE	NULL
601851-000101	GALLEY G1	SFE	NULL
601879-M000901	GALLEY G3b	SFE	NULL
601880-000301	GALLEY G3b (VJC03)	SFE	NULL
601880-000501	GALLEY G3b	SFE	NULL
601880-000601	GALLEY G3b	SFE	NULL
601880-000701	GALLEY G3b	SFE	NULL
601880-000801	GALLEY G3b	SFE	NULL
601880-001201	GALLEY G3b	SFE	NULL
601883-000301	GALLEY G4	SFE	NULL
601884-000101	GALLEY G6	SFE	NULL
601885-000101	GALLEY G8, 35" FWD RH	SFE	NULL
601886-000101	STOWAGE S1, 19" FWD LH	SFE	NULL
601886-000201	FINAL ASSEMBLY	SFE	NULL
601886-000401	STOWAGE S1, 21" FWD LH	SFE	NULL
601886-000501	STOWAGE S3, 28'' MID LH	SFE	NULL
601886-000602	STOWAGE S4, 18" AFT RH	SFE	NULL
601886-001101	STOWAGE S1, 19" FWD LH	SFE	NULL
601888-000301	GALLEY SG4	SFE	NULL
601888-000401	GALLEY SG4	SFE	NULL
601888-000501	GALLEY SG4	SFE	NULL
601888-000601	GALLEY SG4	SFE	NULL
601888-000701	GALLEY SG4	SFE	NULL
601888-000901	GALLEY SG4 (CBJ02)	SFE	NULL
601888-001001	GALLEY SG4 (VJC03)	SFE	NULL
601888-001101	GALLEY SG4	SFE	NULL
601888-001301	GALLEY SG4	SFE	NULL
601888-001401	GALLEY SG4	SFE	NULL
601888-001501	GALLEY SG4	SFE	NULL
601888-001701	GALLEY G4a	SFE	NULL
601888-001801	GALLEY G4a	SFE	NULL
601888-001901	GALLEY G4a	SFE	NULL
601888-002001	GALLEY G4a	SFE	NULL
601888-002101	GALLEY G4a	SFE	NULL
601888-002201	GALLEY SG4	SFE	NULL
601888-002401	GALLEY SG4	SFE	NULL
601888-002501	GALLEY G4a	SFE	NULL
618314-3	OPERATOR PLACARD	BFE	NULL
618400-5	PLACARD, STOW BEFORE...	BFE	NULL
618401-27	PLACARD, STOW BEFORE	BFE	NULL
622401-3	FLUTTER POINT FITTING	BFE	NULL
627326-11	PELMET INSTALLATION	BFE	NULL
675912-151	COMPLETE DOOR	BFE	NULL
G901001-101	Lavatory	SFE	NULL
G901001-103AA	Lavatory GOW02	SFE	NULL
G901001-105AA	Lavatory FFT06	SFE	NULL
G901001-107AA	Lavatory EZY03	SFE	NULL
G901001-109AA	Lavatory VIV02	SFE	NULL
G901001-111AA	Lavatory PTG02	SFE	NULL
G901001-113AA	Lavatory J3K04 D16	SFE	NULL
G901001-115AA	Lavatory AZU01	SFE	NULL
G901001-117AA	Lavatory 32Y04	SFE	NULL
G901001-119AA	Lavatory LATAM	BFE	NULL
G901001-121AA	Lavatory LATAM	BFE	NULL
G901001-123AA	Lavatory AXM04	SFE	NULL
G901001-123AB	Lavatory AXM04 D30	SFE	NULL
601525-1	GALLEY G2A	BFE	NULL
601525-101	GALLEY G2A	BFE	NULL
601525-201	GALLEY G2A	BFE	NULL
601526-1	STOWAGE S1, FWD LH 18"	BFE	NULL
601526-101	STOWAGE C1, FWD LH 18"	BFE	NULL
601526-201	STOWAGE C1, FWD LH 18"	BFE	NULL
601526-301	STOWAGE C1, FWD LH 18"	BFE	NULL
601527-1	LDMCR	BFE	NULL
601527-101	LDMCR	BFE	NULL
601527-201	FINAL ASSEMBLY	BFE	NULL
601528-1	GALLEY G1	BFE	NULL
601529-1	STOWAGE C2, MID LH 16"	BFE	NULL
601529-2	STOWAGE C3, AFT RH 16"	BFE	NULL
601530-1	STOWAGE C4, AFT LH 27"	BFE	NULL
601530-2	STOWAGE C5, AFT RH 27"	BFE	NULL
601533-1	FINAL ASSY	BFE	NULL
601533-101	Stairhouse	BFE	NULL
601534-1	FINAL ASSEMBLY	BFE	NULL
601534-101	LDMCR	BFE	NULL
601536-1	GALLEY G1	BFE	AFDAL
601537-1	GALLEY G5	BFE	AFDAL
601539-1	AFT MAX COMPLEX	BFE	NULL
601539-101	AFT MAX COMPLEX	BFE	NULL
601540-1	STOWAGE S1	BFE	NULL
601541-1	STOWAGE S1	BFE	NULL
601542-1	STOWAGE S1	BFE	NULL
601542-2	STOWAGE S2	BFE	NULL
601543-1	STOWAGE S 18"	SFE	NULL
601544-1	LDMCR	BFE	NULL
601557-1	Galley G4b classic	BFE	NULL
601559-1	STOWAGE S1 34"	BFE	NULL
601560-1	STOWAGE S1 34"	BFE	NULL
601561-1	STAIRHOUSE	BFE	NULL
601562-1	STOWAGE S1	BFE	NULL
601563-2	STOWAGE S4, 30" AFT RH	BFE	NULL
601564-1	S3, AFT LH 32.3"	BFE	NULL
601570-00101	STAIRHOUSE CEO ENHANCED	BFE	NULL
601572-00101	STAIRHOUSE CEO ENHANCED	BFE	NULL
601712-101	LDMCR MAU04	BFE	NULL
601712-101_REWORK	LDMCR MAU04	NULL	NULL
601712-201	LDMCR	BFE	NULL
601712-301	NEO LDMCR 6 bunk	NULL	NULL
601790-00101	STAIRHOUSE	BFE	DELTA LDMCR
601790-00201	STAIRHOUSE	BFE	NULL
601790-00301	STH	BFE	NULL
601791-00101	STAIRHOUSE NEO ENHANCED	BFE	NULL
601794-00101	Stairhouse	BFE	NULL
601795-00101	Stairhouse	BFE	NULL
601850-000301	GALLEY G1	SFE	NULL
601850-000401	GALLEY G1	SFE	NULL
601850-000701	Galley G1	SFE	NULL
601850-000801	GALLEY G1	SFE	NULL
